time,cash_rate_target,inflation_rate,CPI,unemployment_rate,hourly_wage_growth,Bank_Prime_Loan_rate, labor_market_condition_index,USD-AUD_exchange_rate,deposit&foreign_related_institution,M2,Financial_Market: Share_Prices,composite_consumer_confidence_percentage,Trade_balance,Producer_Price_Index_by_Commodity,Business_Investment_And_Sentiment,employment-to-population_ratio,Interaction_exchange_rate_and_share_price,Export_Price_Index,coal_price,Oil_Price_in_Europe (in USD),Interation_exchange_rate_and_oil_price,lending_to_government _in_billion
1999-03-01,4.75,2.789154,164.8,14.4,5.7,7.75,1.21878,0.6308,315.3166,4455.6,51.76784,13,-17719,122.6,0.20335,64.2,32.65515347,105,26.1,12.88521739,20.42678724,25.2
1999-04-01,4.75,2.7963377,165.9,13.4,4.8,7.75,1.14998,0.642,313.3005,4501.4,52.76784,15,-17946,123.6,0.28897,64.2,33.87695328,101.3,26.1,15.50090909,24.14471821,25.1
1999-05-01,4.75,2.8490328,166,13.3,5.1,7.75,1.076,0.6628,310.5651,4464.1,53.76784,16,-20046,124.7,0.28936,64.3,35.63732435,102.1,26.1,15.67,23.64212432,25.4
1999-06-01,4.75,2.9371065,166,12.2,4.8,7.75,1.20106,0.6563,307.9128,4494.7,54.76784,11,-22892,125.2,0.20001,64.2,35.94413339,107,26.1,16.13181818,24.57994542,25.5
1999-07-01,4.75,3.0105503,166.7,11.4,5,8,1.14289,0.6562,311.6175,4519.6,55.76784,12,-23100,125.7,0.55432,64.2,36.59485661,102.3,26.1,19.03227273,29.00376825,23.8
1999-08-01,4.75,3.0557115,167.1,13,4.7,8.06,1.20645,0.6446,315.4745,4539.4,56.76784,9,-22626,126.9,0.29627,64.2,36.59254966,100,26.1,20.59772727,31.95427749,27.2
1999-09-01,4.75,3.0939121,167.8,13.4,5.3,8.25,1.29633,0.6495,319.1376,4553.1,57.76784,12,-22699,128,0.48504,64.2,37.52021208,98.2,26.1,23.14954545,35.64210232,29.4
1999-10-01,4.75,3.134861,168.1,11.8,5.3,8.25,1.26012,0.6509,335.9207,4574.8,58.76784,13,-23372,127.7,0.36702,64.3,38.25198706,101.8,25.6,22.17857143,34.07370015,28.9
1999-11-01,4.98,3.1492332,168.4,11.6,4.9,8.37,1.42573,0.6388,358.2681,4610.2,59.76784,13,-25126,128.3,0.21137,64.4,38.17969619,100.3,25.1,24.83727273,38.88114078,28.2
1999-12-01,5,3.2173645,168.8,13.1,4.9,8.5,1.43524,0.641,385.278,4664.5,60.76784,6,-25939,127.8,0.58161,64.4,38.95218544,98.1,25.1,25.69913043,40.09224717,30.5
2000-01-01,5,3.2743698,169.3,14.2,4.8,8.5,1.43487,0.656,382.6586,4672.6,61.76784,15,-27131,128.3,0.23418,64.6,40.51970304,97.8,25.1,25.63333333,39.07520325,30
2000-02-01,5.48,3.3488244,170,14.3,4.9,8.73,1.31135,0.6278,379.9584,4674.4,62.76784,2,-29794,129.8,0.35141,64.6,39.40564995,96.3,25.1,28.03047619,44.64873557,30.5
2000-03-01,5.5,3.3286618,171,12.9,4.9,8.83,1.41391,0.6094,381.1984,4736,63.76784,3,-30557,130.8,0.16951,64.6,38.8601217,95,25.1,27.49434783,45.11707881,28.8
2000-04-01,5.72,3.1782392,170.9,12.2,4.9,9,1.51724,0.596,379.9728,4806.1,64.76784,-2,-28598,130.7,0.54974,64.7,38.60163264,97,25.1,23.1535,38.84815436,26.7
2000-05-01,5.98,3.2724233,171.2,12.1,4.9,9.24,1.31935,0.5784,373.4121,4732.3,65.76784,-5,-29165,131.6,0.34308,64.4,38.04011866,94.8,25.6,27.80521739,48.07264418,25.5
2000-06-01,6,3.3262841,172.2,11,5.2,9.5,1.2773,0.5949,374.8878,4757.7,66.76784,-2,-30405,133.8,0,64.5,39.72018802,93.7,25.6,30.48318182,51.24085026,24.2
2000-07-01,6,3.0885155,172.7,10.1,5.2,9.5,1.43277,0.587,377.408,4773.9,67.76784,9,-31252,133.7,0.16572,64.2,39.77972208,93.9,25.6,28.89428571,49.22365539,25.2
2000-08-01,6.24,3.0654361,172.7,11.8,5.1,9.5,1.32771,0.5808,388.2955,4804.4,68.76784,14,-29931,132.9,0.10647,64.2,39.94036147,93.1,25.6,31.62913043,54.45786921,24.4
2000-09-01,6.25,2.9890166,173.6,11.3,5.3,9.5,1.36892,0.5521,387.6442,4840,69.76784,2,-33333,134.7,0.21439,64.2,38.51882446,97.2,27.15,33.36047619,60.42469877,23.8
2000-10-01,6.25,2.9611545,173.9,10.8,5.3,9.5,1.38004,0.528,378.8173,4853.9,70.76784,0,-33378,135.4,0.6338,64.2,37.36541952,94.7,27.15,31.30272727,59.28546832,24.2
2000-11-01,6.25,2.9558753,174.2,11.4,5.7,9.5,1.26948,0.5218,377.3438,4882,71.76784,-4,-32723,135,0.67239,64.3,37.44845891,94.4,27.15,32.88090909,63.01439075,24.7
2000-12-01,6.25,2.8761227,174.6,12.8,5.1,9.5,1.1203,0.5466,381.3845,4953,72.76784,-1,-33420,136.2,0.7593,64.4,39.77490134,95.9,30.75,25.47571429,46.60760023,21
2001-01-01,6.25,2.5332933,175.6,13.4,5.3,9.05,1.23362,0.5552,385.8055,4979,73.76784,5,-35202,140,0.99331,64.4,40.95590477,99.8,32.1,25.79,46.45172911,21
2001-02-01,5.85,2.6418159,176,14.8,5.4,8.5,1.04458,0.5338,382.9702,5008,74.76784,3,-29301,137.4,0.72815,64.3,39.91107299,99.5,32.1,27.8965,52.26020982,22.6
